municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1502806,Curralinho,33903.0,0,0.0,0.1452673804678052,0.06244285166504439,0.7915228740819397,0.0003834468926053742,0.0003834468926053742,1.0,0.0
1502855,Curuá,14117.0,0,0.0,0.12332648579726571,0.05759013954806262,0.8183041722745625,7.083658000991713e-05,0.0007083658000991712,0.9999999999999999,1.1102230246251565e-16
1502905,Curuçá,41262.0,0,0.0,0.17425233871358636,0.052324172361979546,0.7720663079831321,0.0007997673404100625,0.0005574136008918618,1.0,0.0
1502939,Dom Eliseu,58484.0,0,0.0,0.22529238766158266,0.10507147253949799,0.6674304083168046,0.0014020928801039602,0.0008036386020108064,1.0,0.0
1502954,Eldorado do Carajás,28192.0,0,0.0,0.19601305334846766,0.12092082860385925,0.6809733257661748,0.0007803632236095346,0.0013124290578887627,0.9999999999999999,1.1102230246251565e-16
1503002,Faro,8728.0,0,0.0,0.1293538038496792,0.023029330889092575,0.8379926672777268,0.00011457378551787351,0.0095096241979835,0.9999999999999999,1.1102230246251565e-16
1503044,Floresta do Araguaia,17898.0,0,0.0,0.21320817968488098,0.10593362386858866,0.6779528438931725,0.0012850597832160019,0.0016202927701419153,1.0,0.0
1503077,Garrafão do Norte,24703.0,0,0.0,0.13455855564101527,0.061652430878840626,0.8022912196899162,0.0011739464842326843,0.00032384730599522324,1.0,0.0
1503093,Goianésia do Pará,26362.0,1,3.793338896897049e-05,0.19327061679690463,0.1084894924512556,0.6933844169638116,0.0005690008345345573,0.004248539564524694,0.999962066611031,3.793338896895815e-05
1503101,Gurupá,31786.0,0,0.0,0.16019631284213176,0.06266909960359907,0.7752784244636003,0.0002516831309381489,0.001604479959730699,1.0,0.0
1503200,Igarapé-Açu,35797.0,2,5.587060368187278e-05,0.19004385842389027,0.058887616280693916,0.7473810654524122,0.002933206693298321,0.0006983825460234098,0.9999441293963182,5.587060368184016e-05
1503309,Igarapé-Miri,64831.0,0,0.0,0.177492249078373,0.17062824883157748,0.6511545402662307,0.00037019327173728615,0.00035476855208156594,1.0,0.0
1503408,Inhangapi,10325.0,0,0.0,0.09975786924939467,0.15196125907990315,0.746634382566586,0.0009685230024213075,0.0006779661016949153,1.0000000000000002,-2.220446049250313e-16
1503457,Ipixuna do Pará,30329.0,0,0.0,0.15654983678987108,0.10062976029542682,0.7408091265785222,0.0008572653236176596,0.0011540110125622342,0.9999999999999999,1.1102230246251565e-16
